ticker,ex_date,amount
FTHI,2025-10-21,0.177
FTHI,2025-11-21,0.177
FTHI,2025-12-12,0.177
FTHI,2026-01-21,0.177
FTHI,2026-02-20,0.177
FTHI,2026-03-26,0.177
FTHI,2026-04-21,0.172
FTHI,2026-05-21,0.172
FTQI,2014-02-21,0.065
FTQI,2014-03-25,0.059
FTQI,2014-04-22,0.014
FTQI,2014-05-21,0.067
FTQI,2014-06-24,0.068
FTQI,2014-07-22,0.068
FTQI,2014-08-21,0.067
FTQI,2014-09-23,0.068
FTQI,2014-10-21,0.066
FTQI,2014-11-21,0.065
FTQI,2014-12-23,0.065
FTQI,2015-01-21,0.06
FTQI,2015-02-20,0.06
FTQI,2015-03-25,0.06
FTQI,2015-05-21,0.06
FTQI,2015-06-24,0.06
FTQI,2015-07-21,0.06
FTQI,2015-08-21,0.06
FTQI,2015-09-23,0.055
FTQI,2015-10-21,0.055
FTQI,2015-11-20,0.055
FTQI,2015-12-23,0.055
FTQI,2016-01-21,0.055
FTQI,2016-02-23,0.055
FTQI,2016-04-21,0.053
FTQI,2016-05-20,0.053
FTQI,2016-06-22,0.053
FTQI,2016-07-21,0.053
FTQI,2016-08-23,0.053
FTQI,2016-09-21,0.053
FTQI,2016-10-21,0.053
FTQI,2016-11-22,0.053
FTQI,2016-12-21,0.053
FTQI,2017-01-20,0.053
FTQI,2017-02-22,0.053
FTQI,2017-03-23,0.053
FTQI,2017-04-21,0.053
FTQI,2017-05-23,0.053
FTQI,2017-06-22,0.053
FTQI,2017-07-21,0.053
FTQI,2017-08-22,0.053
FTQI,2017-09-21,0.053
FTQI,2017-10-20,0.053
FTQI,2017-11-21,0.053
FTQI,2017-12-21,0.055
FTQI,2018-01-23,0.055
FTQI,2018-02-21,0.055
FTQI,2018-03-22,0.055
FTQI,2018-04-20,0.055
FTQI,2018-05-22,0.055
FTQI,2018-06-21,0.055
FTQI,2018-07-20,0.055
FTQI,2018-08-21,0.055
FTQI,2018-09-14,0.055
FTQI,2018-10-23,0.055
FTQI,2018-11-21,0.055
FTQI,2018-12-18,0.055
FTQI,2019-01-23,0.055
FTQI,2019-02-21,0.055
FTQI,2019-03-21,0.055
FTQI,2019-04-23,0.055
FTQI,2019-05-21,0.055
FTQI,2019-06-14,0.055
FTQI,2019-07-23,0.055
FTQI,2019-08-21,0.055
FTQI,2019-09-25,0.055
FTQI,2019-10-22,0.055
FTQI,2019-11-21,0.055
FTQI,2019-12-13,0.055
FTQI,2020-01-22,0.055
FTQI,2020-02-21,0.055
FTQI,2020-03-26,0.055
FTQI,2020-04-21,0.055
FTQI,2020-05-21,0.055
FTQI,2020-06-25,0.055
FTQI,2020-07-21,0.055
FTQI,2020-08-21,0.055
FTQI,2020-09-24,0.055
FTQI,2020-10-21,0.055
FTQI,2020-11-24,0.055
FTQI,2020-12-24,0.055
FTQI,2021-01-21,0.055
FTQI,2021-02-23,0.055
FTQI,2021-03-25,0.055
FTQI,2021-04-21,0.055
FTQI,2021-05-21,0.055
FTQI,2021-06-24,0.055
FTQI,2021-07-21,0.055
FTQI,2021-08-24,0.055
FTQI,2021-09-23,0.055
FTQI,2021-10-21,0.055
FTQI,2021-11-23,0.055
FTQI,2021-12-23,0.055
FTQI,2022-01-21,0.055
FTQI,2022-02-18,0.055
FTQI,2022-03-25,0.055
FTQI,2022-04-21,0.055
FTQI,2022-05-24,0.21
FTQI,2022-06-24,0.21
FTQI,2022-07-21,0.2
FTQI,2022-08-23,0.2
FTQI,2022-09-23,0.2
FTQI,2022-10-21,0.179
FTQI,2022-11-22,0.179
FTQI,2022-12-23,0.179
FTQI,2023-01-24,0.179
FTQI,2023-02-22,0.179
FTQI,2023-03-24,0.179
FTQI,2023-04-21,0.194
FTQI,2023-05-23,0.194
FTQI,2023-06-27,0.194
FTQI,2023-07-21,0.198
FTQI,2023-08-22,0.198
FTQI,2023-09-22,0.198
FTQI,2023-10-24,0.188
FTQI,2023-11-21,0.188
FTQI,2023-12-22,0.188
FTQI,2024-01-23,0.198
FTQI,2024-02-21,0.198
FTQI,2024-03-21,0.198
FTQI,2024-04-23,0.204
FTQI,2024-05-21,0.204
FTQI,2024-06-27,0.204
FTQI,2024-07-23,0.203
FTQI,2024-08-21,0.203
FTQI,2024-09-26,0.203
FTQI,2024-10-22,0.204
FTQI,2024-11-21,0.204
FTQI,2024-12-13,0.204
FTQI,2025-01-22,0.207
FTQI,2025-02-21,0.207
FTQI,2025-03-27,0.207
FTQI,2025-04-22,0.188
FTQI,2025-05-21,0.188
FTQI,2025-06-26,0.188
FTQI,2025-07-22,0.195
FTQI,2025-08-21,0.195
FTQI,2025-09-25,0.195
FTQI,2025-10-21,0.205
FTQI,2025-11-21,0.205
FTQI,2025-12-12,0.205
FTQI,2026-01-21,0.207
FTQI,2026-02-20,0.207
FTQI,2026-03-26,0.207
FTQI,2026-04-21,0.199
FTQI,2026-05-21,0.199
FYEE,2024-06-21,0.451
FYEE,2024-09-20,0.496
FYEE,2024-12-20,0.508
FYEE,2025-03-21,0.6
FYEE,2025-06-20,0.52
FYEE,2025-09-19,0.292
FYEE,2025-12-19,0.619
FYEE,2026-03-20,0.824
GDXY,2024-07-05,0.796
GDXY,2024-08-07,0.579
GDXY,2024-09-06,0.601
GDXY,2024-10-10,0.606
GDXY,2024-11-07,0.485
GDXY,2024-12-05,0.378
GDXY,2025-01-03,0.35
GDXY,2025-01-30,0.594
GDXY,2025-02-27,0.442
GDXY,2025-03-27,0.639
GDXY,2025-04-24,0.728
GDXY,2025-05-22,0.374
GDXY,2025-06-20,0.845
GDXY,2025-07-17,0.332
GDXY,2025-08-14,0.61
GDXY,2025-09-11,0.648
GDXY,2025-10-09,1.003
GDXY,2025-10-16,0.113
GDXY,2025-10-23,0.145
GDXY,2025-10-30,0.141
GDXY,2025-11-06,0.132
GDXY,2025-11-13,0.132
GDXY,2025-11-20,0.207
GDXY,2025-11-28,0.125
GDXY,2025-12-04,0.311
GDXY,2025-12-11,0.103
GDXY,2025-12-18,0.181
GDXY,2025-12-26,0.196
GDXY,2026-01-02,0.159
GDXY,2026-01-08,0.128
GDXY,2026-01-15,0.128
GDXY,2026-01-22,0.168
GDXY,2026-01-29,0.284
GDXY,2026-02-05,0.153
GDXY,2026-02-12,0.163
GDXY,2026-02-19,0.194
GDXY,2026-02-26,0.173
GDXY,2026-03-05,0.325
GDXY,2026-03-12,0.16
GDXY,2026-03-19,0.114
GDXY,2026-03-26,0.13
GDXY,2026-04-02,0.144
GDXY,2026-04-09,0.154
GDXY,2026-04-16,0.159
GDXY,2026-04-23,0.201
GDXY,2026-04-30,0.157
GDXY,2026-05-07,0.124
GDXY,2026-05-14,0.125
GDXY,2026-05-21,0.108
GDXY,2026-05-28,0.111
GDXY,2026-06-04,0.094
GDXY,2026-06-11,0.097
GOOY,2023-09-08,0.291
GOOY,2023-10-06,0.39
GOOY,2023-11-08,0.391
GOOY,2023-12-07,0.374
GOOY,2024-01-05,0.23
GOOY,2024-02-07,0.421
GOOY,2024-03-06,0.255
GOOY,2024-04-04,0.31
GOOY,2024-05-06,0.668
GOOY,2024-06-06,0.686
GOOY,2024-07-05,0.468
GOOY,2024-08-07,0.499
GOOY,2024-09-06,0.358
GOOY,2024-10-03,0.255
GOOY,2024-10-31,0.377
GOOY,2024-11-29,0.285
GOOY,2024-12-27,0.633
GOOY,2025-01-23,0.332
GOOY,2025-02-20,0.388
GOOY,2025-03-20,0.328
GOOY,2025-04-17,0.373
GOOY,2025-05-15,0.345
GOOY,2025-06-12,0.398
GOOY,2025-07-10,0.308
GOOY,2025-08-07,0.449
GOOY,2025-09-04,0.694
GOOY,2025-10-02,0.694
GOOY,2025-10-16,0.164
GOOY,2025-10-23,0.21
GOOY,2025-10-30,0.138
GOOY,2025-11-06,0.28
GOOY,2025-11-13,0.094
GOOY,2025-11-20,0.1
GOOY,2025-11-28,0.228
GOOY,2025-12-04,0.251
GOOY,2025-12-11,0.108
GOOY,2025-12-18,0.092
GOOY,2025-12-26,0.087
GOOY,2026-01-02,0.085
GOOY,2026-01-08,0.08
GOOY,2026-01-15,0.098
GOOY,2026-01-22,0.105
GOOY,2026-01-29,0.103
GOOY,2026-02-05,0.112
GOOY,2026-02-12,0.096
GOOY,2026-02-19,0.102
GOOY,2026-02-26,0.105
GOOY,2026-03-05,0.103
GOOY,2026-03-12,0.087
GOOY,2026-03-19,0.085
GOOY,2026-03-26,0.082
GOOY,2026-04-02,0.079
GOOY,2026-04-09,0.085
GOOY,2026-04-16,0.092
GOOY,2026-04-23,0.121
GOOY,2026-04-30,0.225
GOOY,2026-05-07,0.297
GOOY,2026-05-14,0.243
GOOY,2026-05-21,0.182
GOOY,2026-05-28,0.151
GOOY,2026-06-04,0.084
GOOY,2026-06-11,0.082
GPIQ,2023-12-04,0.375
GPIQ,2023-12-28,0.387
GPIQ,2024-02-02,0.391
GPIQ,2024-03-04,0.404
GPIQ,2024-04-02,0.407
GPIQ,2024-05-02,0.388
GPIQ,2024-06-04,0.406
GPIQ,2024-07-02,0.42
GPIQ,2024-08-02,0.41
GPIQ,2024-09-04,0.411
GPIQ,2024-10-02,0.418
GPIQ,2024-11-04,0.414
GPIQ,2024-12-03,0.431
GPIQ,2025-01-03,0.429
GPIQ,2025-02-03,0.438
GPIQ,2025-03-03,0.415
